Feature,Duration,SHAP_value,Normalized_Importance,Sum_Normalized_Importance,Type
Heater Dutycycle,70,0.022244355,0.022244355258034525,1.0,IBS_N
Search Coil Magnetometer's Temperature,70,0.04106583,0.041065830476363634,1.0,IBS_N
Solar Array's Angle,70,0.0063576754,0.006357675473749036,1.0,IBS_N
High Gain Antenna Azimuth,70,0.27622315,0.27622315320418855,1.0,IBS_N
High Gain Antenna elevation,70,0.14475092,0.14475092167911072,1.0,IBS_N
Radial Distance from Sun,80,0.0592705,0.059270499822188495,1.0,IBS_N
Electronic Box Temperature,80,0.20395382,0.20395381938813856,1.0,IBS_N
Out Board Sensor Temperature,80,0.0621339,0.0621338998135983,1.0,IBS_N
In Board Sensor Temperature,80,0.09873277,0.09873276970380168,1.0,IBS_N
Out Board Sensor minus In Board Sensor Temp.,80,0.08215955,0.08215954975352134,1.0,IBS_N
Heater Dutycycle,80,0.025473898,0.025473897923578303,1.0,IBS_N
Search Coil Magnetometer's Temperature,80,0.04482683,0.04482682986551951,1.0,IBS_N
Solar Array's Angle,80,0.005326155,0.005326154984021535,1.0,IBS_N
High Gain Antenna Azimuth,80,0.283485,0.283484999149545,1.0,IBS_N
High Gain Antenna elevation,80,0.13463758,0.13463757959608727,1.0,IBS_N
Radial Distance from Sun,90,0.058736783,0.058736784938313906,1.0,IBS_N
Electronic Box Temperature,90,0.18818088,0.18818088620996926,1.0,IBS_N
Out Board Sensor Temperature,90,0.05702844,0.057028441881938584,1.0,IBS_N
In Board Sensor Temperature,90,0.062906116,0.06290611807590189,1.0,IBS_N
Out Board Sensor minus In Board Sensor Temp.,90,0.094579875,0.09457987812113598,1.0,IBS_N
Heater Dutycycle,90,0.054272458,0.05427245979099118,1.0,IBS_N
Search Coil Magnetometer's Temperature,90,0.043579426,0.043579427438121106,1.0,IBS_N
Solar Array's Angle,90,0.008797229,0.008797229290308567,1.0,IBS_N
High Gain Antenna Azimuth,90,0.29671,0.2967100097914303,1.0,IBS_N
High Gain Antenna elevation,90,0.13520876,0.13520876446188926,1.0,IBS_N
Radial Distance from Sun,100,0.07046005,0.07046005408668314,1.0,IBS_N
Electronic Box Temperature,100,0.1729068,0.172906810028595,1.0,IBS_N
Out Board Sensor Temperature,100,0.07573415,0.07573415439258097,1.0,IBS_N
In Board Sensor Temperature,100,0.03326102,0.03326102192913928,1.0,IBS_N
Out Board Sensor minus In Board Sensor Temp.,100,0.102869354,0.1028693599664229,1.0,IBS_N
Heater Dutycycle,100,0.05276033,0.05276033306009933,1.0,IBS_N
Search Coil Magnetometer's Temperature,100,0.041256644,0.041256646392885496,1.0,IBS_N
Solar Array's Angle,100,0.008008744,0.00800874446450718,1.0,IBS_N
High Gain Antenna Azimuth,100,0.29626283,0.29626284718324514,1.0,IBS_N
High Gain Antenna elevation,100,0.14648002,0.14648002849584166,1.0,IBS_N
Radial Distance from Sun,110,0.07137247,0.07137247406823101,1.0,IBS_N
Electronic Box Temperature,110,0.17311987,0.17311987986783314,1.0,IBS_N
